Sample_name,COSMIC_sample_ID,Tumour_location,Screening_method,Sample_type,Cell_line_source,Sample_source
"
                CAL-85-1",COSS910852,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                CAMA-1",COSS946382,"
              Breast (Carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                CAPAN-1",COSS753624,"
              Pancreas (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                CAS-1",COSS910943,"
              Central nervous system; Brain (Glioma; Astrocytoma Grade IV; Glioblastoma multiforme)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                CCF-STTG1",COSS906823,"
              Central nervous system; Brain (Glioma; Astrocytoma Grade IV; Glioblastoma multiforme)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                CCK-81",COSS1240123,"
              Large intestine (Carcinoma; Adenocarcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,NS,cell-line
"
                CCRF-CEM",COSS905952,"
              Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic leukaemia)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                CESS",COSS910688,"
              Haematopoietic and lymphoid (Haematopoietic neoplasm; Acute myeloid leukaemia; M4)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,primary,cell-line
"
                CFPAC-1",COSS906821,"
              Pancreas (Carcinoma; Ductal carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
"
                CGTH-W-1",COSS910568,"
              Thyroid (Carcinoma; Follicular carcinoma)
              View this tissue/histology in the Cancer Browser
            ","
              Whole exome screening
            ",Cultured Sample,metastasis,cell-line
